"Plot Title: 20433770"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20433770, SEN S/N: 20433770)","Intensity, Lux (LGR S/N: 20433770, SEN S/N: 20433770)"
1,10/21/18 05:04:03 PM,40.62,26286.08
2,10/21/18 05:04:18 PM,40.62,27084.80
3,10/21/18 05:04:33 PM,40.58,27002.88
4,10/21/18 05:04:48 PM,40.54,26910.72
5,10/21/18 05:05:03 PM,40.50,26808.32
6,10/21/18 05:05:18 PM,40.41,26695.68
7,10/21/18 05:05:33 PM,40.45,26613.76
8,10/21/18 05:05:48 PM,40.41,26501.12
9,10/21/18 05:06:03 PM,40.45,26449.92
10,10/21/18 05:06:18 PM,40.45,26357.76
11,10/21/18 05:06:33 PM,40.54,26224.64
12,10/21/18 05:06:48 PM,40.45,26214.40
13,10/21/18 05:07:03 PM,40.50,26101.76
14,10/21/18 05:07:18 PM,40.54,26091.52
15,10/21/18 05:07:33 PM,40.50,26009.60
16,10/21/18 05:07:48 PM,40.45,25948.16
17,10/21/18 05:08:03 PM,40.45,25825.28
18,10/21/18 05:08:18 PM,40.41,25733.12
19,10/21/18 05:08:33 PM,40.41,25620.48
20,10/21/18 05:08:48 PM,40.37,25559.04
21,10/21/18 05:09:03 PM,40.28,25497.60
22,10/21/18 05:09:18 PM,40.28,25384.96
23,10/21/18 05:09:33 PM,40.28,25251.84
24,10/21/18 05:09:48 PM,40.28,25169.92
25,10/21/18 05:10:03 PM,40.28,25098.24
26,10/21/18 05:10:18 PM,40.24,25026.56
27,10/21/18 05:10:33 PM,40.28,24954.88
28,10/21/18 05:10:48 PM,40.32,24893.44
29,10/21/18 05:11:03 PM,40.32,24801.28
30,10/21/18 05:11:18 PM,40.32,24709.12
31,10/21/18 05:11:33 PM,40.28,24657.92
32,10/21/18 05:11:48 PM,40.28,24596.48
33,10/21/18 05:12:03 PM,40.28,24555.52
34,10/21/18 05:12:18 PM,40.28,24483.84
35,10/21/18 05:12:33 PM,40.28,24350.72
36,10/21/18 05:12:48 PM,40.28,24309.76
37,10/21/18 05:13:03 PM,40.24,24248.32
38,10/21/18 05:13:18 PM,40.15,24176.64
39,10/21/18 05:13:33 PM,40.11,24135.68
40,10/21/18 05:13:48 PM,40.02,24156.16
41,10/21/18 05:14:03 PM,39.94,24053.76
42,10/21/18 05:14:18 PM,39.94,23992.32
43,10/21/18 05:14:33 PM,39.98,23930.88
44,10/21/18 05:14:48 PM,39.94,23900.16
45,10/21/18 05:15:03 PM,39.98,23879.68
46,10/21/18 05:15:18 PM,39.94,23808.00
47,10/21/18 05:15:33 PM,39.89,23695.36
48,10/21/18 05:15:48 PM,39.89,23644.16
49,10/21/18 05:16:03 PM,39.85,23613.44
50,10/21/18 05:16:18 PM,39.77,23552.00
51,10/21/18 05:16:33 PM,39.72,23552.00
52,10/21/18 05:16:48 PM,39.68,23470.08
53,10/21/18 05:17:03 PM,39.72,23398.40
54,10/21/18 05:17:18 PM,39.68,22824.96
55,10/21/18 05:17:33 PM,39.64,22272.00
56,10/21/18 05:17:48 PM,39.59,22231.04
57,10/21/18 05:18:03 PM,39.59,21770.24
58,10/21/18 05:18:18 PM,39.42,19399.68
59,10/21/18 05:18:33 PM,39.34,20290.56
60,10/21/18 05:18:48 PM,39.29,21760.00
61,10/21/18 05:19:03 PM,39.21,22077.44
62,10/21/18 05:19:18 PM,39.17,22282.24
63,10/21/18 05:19:33 PM,39.08,22405.12
64,10/21/18 05:19:48 PM,39.04,22466.56
65,10/21/18 05:20:03 PM,39.04,22732.80
66,10/21/18 05:20:18 PM,39.04,22855.68
67,10/21/18 05:20:33 PM,39.04,22712.32
68,10/21/18 05:20:48 PM,39.08,22630.40
69,10/21/18 05:21:03 PM,39.17,22364.16
70,10/21/18 05:21:18 PM,39.17,22261.76
71,10/21/18 05:21:33 PM,39.17,22179.84
72,10/21/18 05:21:48 PM,39.08,22138.88
73,10/21/18 05:22:03 PM,39.17,22097.92
74,10/21/18 05:22:18 PM,39.17,21964.80
75,10/21/18 05:22:33 PM,39.17,21852.16
76,10/21/18 05:22:48 PM,39.17,21688.32
77,10/21/18 05:23:03 PM,39.12,21534.72
78,10/21/18 05:23:18 PM,39.17,21411.84
79,10/21/18 05:23:33 PM,39.12,21237.76
80,10/21/18 05:23:48 PM,39.08,21135.36
81,10/21/18 05:24:03 PM,39.04,20992.00
82,10/21/18 05:24:18 PM,39.04,20843.52
83,10/21/18 05:24:33 PM,38.95,20725.76
84,10/21/18 05:24:48 PM,38.91,20618.24
85,10/21/18 05:25:03 PM,38.86,20454.40
86,10/21/18 05:25:18 PM,38.91,20352.00
87,10/21/18 05:25:33 PM,38.82,20229.12
88,10/21/18 05:25:48 PM,38.78,20101.12
89,10/21/18 05:26:03 PM,38.74,19993.60
90,10/21/18 05:26:18 PM,38.69,19845.12
91,10/21/18 05:26:33 PM,38.69,19742.72
92,10/21/18 05:26:48 PM,38.69,19660.80
93,10/21/18 05:27:03 PM,38.61,19553.28
94,10/21/18 05:27:18 PM,38.61,19435.52
95,10/21/18 05:27:33 PM,38.61,19317.76
96,10/21/18 05:27:48 PM,38.61,19256.32
97,10/21/18 05:28:03 PM,38.56,19143.68
98,10/21/18 05:28:18 PM,38.52,19123.20
99,10/21/18 05:28:33 PM,38.48,18928.64
100,10/21/18 05:28:48 PM,38.44,17756.16
101,10/21/18 05:29:03 PM,38.39,18160.64
102,10/21/18 05:29:18 PM,38.35,18063.36
103,10/21/18 05:29:33 PM,38.26,17873.92
104,10/21/18 05:29:48 PM,38.26,18068.48
105,10/21/18 05:30:03 PM,38.22,18088.96
106,10/21/18 05:30:18 PM,38.22,18186.24
107,10/21/18 05:30:33 PM,38.14,18181.12
108,10/21/18 05:30:48 PM,38.14,18186.24
109,10/21/18 05:31:03 PM,38.14,18048.00
110,10/21/18 05:31:18 PM,38.09,18001.92
111,10/21/18 05:31:33 PM,38.05,17930.24
112,10/21/18 05:31:48 PM,38.05,17838.08
113,10/21/18 05:32:03 PM,37.96,17771.52
114,10/21/18 05:32:18 PM,37.88,17669.12
