"Plot Title: 20425148"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20425148, SEN S/N: 20425148)","Intensity, Lux (LGR S/N: 20425148, SEN S/N: 20425148)"
1,11/26/19 01:34:31 PM,9.65,12262.40
2,11/26/19 01:34:46 PM,9.65,11827.20
3,11/26/19 01:35:01 PM,9.69,16532.48
4,11/26/19 01:35:16 PM,9.74,16353.28
5,11/26/19 01:35:31 PM,9.78,16322.56
6,11/26/19 01:35:46 PM,9.78,16834.56
7,11/26/19 01:36:01 PM,9.82,16476.16
8,11/26/19 01:36:16 PM,9.82,15825.92
9,11/26/19 01:36:31 PM,9.86,16389.12
10,11/26/19 01:36:46 PM,9.86,15815.68
11,11/26/19 01:37:01 PM,9.86,15211.52
12,11/26/19 01:37:16 PM,9.86,14858.24
13,11/26/19 01:37:31 PM,9.86,14812.16
14,11/26/19 01:37:46 PM,9.91,15078.40
15,11/26/19 01:38:01 PM,9.91,14566.40
16,11/26/19 01:38:16 PM,9.91,14771.20
17,11/26/19 01:38:31 PM,9.91,15718.40
18,11/26/19 01:38:46 PM,9.95,18396.16
19,11/26/19 01:39:01 PM,10.04,16865.28
20,11/26/19 01:39:16 PM,10.04,16394.24
21,11/26/19 01:39:31 PM,10.04,12774.40
22,11/26/19 01:39:46 PM,9.99,12451.84
23,11/26/19 01:40:01 PM,9.91,12170.24
24,11/26/19 01:40:16 PM,9.82,11944.96
25,11/26/19 01:40:31 PM,9.78,11745.28
26,11/26/19 01:40:46 PM,9.74,11581.44
27,11/26/19 01:41:01 PM,9.65,11591.68
28,11/26/19 01:41:16 PM,9.61,11617.28
29,11/26/19 01:41:31 PM,9.56,11617.28
30,11/26/19 01:41:46 PM,9.56,11571.20
31,11/26/19 01:42:01 PM,9.48,11448.32
32,11/26/19 01:42:16 PM,9.44,11340.80
33,11/26/19 01:42:31 PM,9.35,11223.04
34,11/26/19 01:42:46 PM,9.31,11059.20
35,11/26/19 01:43:01 PM,9.26,10946.56
36,11/26/19 01:43:16 PM,9.26,10828.80
37,11/26/19 01:43:31 PM,9.22,10721.28
38,11/26/19 01:43:46 PM,9.18,10577.92
39,11/26/19 01:44:01 PM,9.09,10475.52
40,11/26/19 01:44:16 PM,9.05,10334.72
41,11/26/19 01:44:31 PM,8.96,10234.88
42,11/26/19 01:44:46 PM,9.01,10132.48
43,11/26/19 01:45:01 PM,8.92,9971.20
44,11/26/19 01:45:16 PM,8.92,9899.52
45,11/26/19 01:45:31 PM,8.83,9830.40
46,11/26/19 01:45:46 PM,8.83,9771.52
47,11/26/19 01:46:01 PM,8.75,9763.84
48,11/26/19 01:46:16 PM,8.71,9756.16
49,11/26/19 01:46:31 PM,8.71,9792.00
50,11/26/19 01:46:46 PM,8.58,9884.16
51,11/26/19 01:47:01 PM,8.62,9966.08
52,11/26/19 01:47:16 PM,8.58,10053.12
53,11/26/19 01:47:31 PM,8.62,10073.60
54,11/26/19 01:47:46 PM,8.58,10160.64
55,11/26/19 01:48:01 PM,8.53,10355.20
56,11/26/19 01:48:16 PM,8.62,10557.44
57,11/26/19 01:48:31 PM,8.53,10752.00
58,11/26/19 01:48:46 PM,8.58,10920.96
59,11/26/19 01:49:01 PM,8.53,11120.64
60,11/26/19 01:49:16 PM,8.53,11289.60
61,11/26/19 01:49:31 PM,8.53,11448.32
62,11/26/19 01:49:46 PM,8.58,11571.20
63,11/26/19 01:50:01 PM,8.58,11688.96
64,11/26/19 01:50:16 PM,8.58,11765.76
65,11/26/19 01:50:31 PM,8.62,11827.20
66,11/26/19 01:50:46 PM,8.66,11827.20
67,11/26/19 01:51:01 PM,8.66,11811.84
68,11/26/19 01:51:16 PM,8.66,11760.64
69,11/26/19 01:51:31 PM,8.66,11699.20
70,11/26/19 01:51:46 PM,8.71,11622.40
71,11/26/19 01:52:01 PM,8.71,11494.40
72,11/26/19 01:52:16 PM,8.75,11320.32
73,11/26/19 01:52:31 PM,8.75,11182.08
74,11/26/19 01:52:46 PM,8.75,11013.12
75,11/26/19 01:53:01 PM,8.75,10844.16
76,11/26/19 01:53:16 PM,8.75,10634.24
77,11/26/19 01:53:31 PM,8.75,10455.04
78,11/26/19 01:53:46 PM,8.79,10301.44
79,11/26/19 01:54:01 PM,8.75,10127.36
80,11/26/19 01:54:16 PM,8.75,9937.92
81,11/26/19 01:54:31 PM,8.71,9825.28
82,11/26/19 01:54:46 PM,8.71,9751.04
83,11/26/19 01:55:01 PM,8.71,9771.52
84,11/26/19 01:55:16 PM,8.66,9817.60
85,11/26/19 01:55:31 PM,8.66,9937.92
86,11/26/19 01:55:46 PM,8.66,10437.12
87,11/26/19 01:56:01 PM,8.66,10019.84
88,11/26/19 01:56:16 PM,8.66,10255.36
89,11/26/19 01:56:31 PM,8.66,10859.52
90,11/26/19 01:56:46 PM,8.71,11351.04
91,11/26/19 01:57:01 PM,8.75,10798.08
92,11/26/19 01:57:16 PM,8.79,11008.00
93,11/26/19 01:57:31 PM,8.79,11985.92
94,11/26/19 01:57:46 PM,8.79,13844.48
95,11/26/19 01:58:01 PM,8.88,13506.56
96,11/26/19 01:58:16 PM,8.96,13844.48
97,11/26/19 01:58:31 PM,9.01,14346.24
98,11/26/19 01:58:46 PM,9.09,14305.28
99,11/26/19 01:59:01 PM,9.18,14848.00
100,11/26/19 01:59:16 PM,9.26,15206.40
101,11/26/19 01:59:31 PM,9.35,14883.84
102,11/26/19 01:59:46 PM,9.44,16138.24
103,11/26/19 02:00:01 PM,9.48,16353.28
104,11/26/19 02:00:16 PM,9.61,17233.92
105,11/26/19 02:00:31 PM,9.78,18222.08
106,11/26/19 02:00:46 PM,9.78,15052.80
107,11/26/19 02:01:01 PM,9.86,16778.24
108,11/26/19 02:01:16 PM,9.91,17269.76
109,11/26/19 02:01:31 PM,10.04,15436.80
110,11/26/19 02:01:46 PM,10.04,14945.28
111,11/26/19 02:02:01 PM,10.04,14929.92
112,11/26/19 02:02:16 PM,10.08,14888.96
113,11/26/19 02:02:31 PM,10.04,14909.44
114,11/26/19 02:02:46 PM,9.99,14878.72
115,11/26/19 02:03:01 PM,10.04,14888.96
116,11/26/19 02:03:16 PM,9.99,15027.20
117,11/26/19 02:03:31 PM,10.04,15170.56
118,11/26/19 02:03:46 PM,10.04,15313.92
119,11/26/19 02:04:01 PM,10.04,15385.60
120,11/26/19 02:04:16 PM,10.12,15421.44
121,11/26/19 02:04:31 PM,10.08,15313.92
122,11/26/19 02:04:46 PM,10.12,15165.44
123,11/26/19 02:05:01 PM,10.12,14883.84
124,11/26/19 02:05:16 PM,10.12,14499.84
