station_id,lat,lon,source,reports,country
USC00457498,46.3333,-124.0333,ghcn,daily,US
USC00457507,48.4958,-122.2355,ghcn,daily,US
USC00457522,46.6722,-120.4994,ghcn,daily,US
USC00457538,48.0833,-123.1,ghcn,daily,US
USC00457544,48.085,-123.0639,ghcn,daily,US
USC00457584,47.2,-123.1,ghcn,daily,US
USC00457625,46.2333,-121.1333,ghcn,daily,US
USC00457650,48.2,-122.25,ghcn,daily,US
USC00457654,46.5333,-122.5833,ghcn,daily,US
USC00457657,48.0667,-121.5667,ghcn,daily,US
USC00457680,45.8333,-120.1167,ghcn,daily,US
USC00457690,48.6833,-121.25,ghcn,daily,US
USC00457696,45.6219,-122.2178,ghcn,daily,US
USC00457708,47.7,-121.3667,ghcn,daily,US
USC00457727,46.8367,-119.6633,ghcn,daily,US
USC00457756,47.9167,-122.0833,ghcn,daily,US
USC00457773,47.5414,-121.8361,ghcn,daily,US
USC00457781,47.4247,-121.4139,ghcn,daily,US
USC00457786,47.4,-121.45,ghcn,daily,US
USC00457794,45.8175,-121.3533,ghcn,daily,US
USC00457871,47.2333,-123.5833,ghcn,daily,US
USC00457905,48.55,-119.6667,ghcn,daily,US
USC00457919,46.2667,-122.15,ghcn,daily,US
USC00457933,47.6667,-117.4167,ghcn,daily,US
USC00457941,47.6811,-117.6267,ghcn,daily,US
USC00457956,47.3,-117.9833,ghcn,daily,US
USC00457987,47.8,-124.0667,ghcn,daily,US
USC00458005,46.2511,-122.3414,ghcn,daily,US
USC00458007,47.2667,-121.3667,ghcn,daily,US
USC00458034,47.8664,-121.7175,ghcn,daily,US
USC00458059,48.3508,-120.7264,ghcn,daily,US
USC00458089,47.7372,-121.0914,ghcn,daily,US
USC00458115,48.3667,-120.3333,ghcn,daily,US
USC00458170,47.8333,-121.8333,ghcn,daily,US
USC00458190,47.2,-122.25,ghcn,daily,US
USC00458207,46.3236,-120.0103,ghcn,daily,US
USC00458211,46.345,-120.0289,ghcn,daily,US
USC00458278,47.2472,-122.4122,ghcn,daily,US
USC00458339,47.4167,-121.8667,ghcn,daily,US
USC00458348,47.2275,-117.0836,ghcn,daily,US
USC00458442,46.6667,-121,ghcn,daily,US
USC00458465,48.2,-119.4667,ghcn,daily,US
USC00458506,47.6667,-121.9333,ghcn,daily,US
USC00458508,47.7,-121.6908,ghcn,daily,US
USC00458520,48.7806,-119.4242,ghcn,daily,US
USC00458521,48.7978,-119.26,ghcn,daily,US
USC00458525,48.6667,-119.6667,ghcn,daily,US
USC00458530,46.3667,-120.2833,ghcn,daily,US
USC00458540,46.0333,-118.6667,ghcn,daily,US
USC00458543,46.1167,-117.9833,ghcn,daily,US
USC00458579,47.2167,-120,ghcn,daily,US
USC00458630,45.95,-120.2833,ghcn,daily,US
USC00458653,46.75,-121.3333,ghcn,daily,US
USC00458656,48.3667,-120.1167,ghcn,daily,US
USC00458670,47.7333,-121.1333,ghcn,daily,US
USC00458672,47.9333,-120.5,ghcn,daily,US
USC00458688,45.7333,-121.6,ghcn,daily,US
USC00458694,47.35,-123.1667,ghcn,daily,US
USC00458715,48.6525,-121.6931,ghcn,daily,US
USC00458718,48.6667,-121.7167,ghcn,daily,US
USC00458728,48.65,-119.65,ghcn,daily,US
USC00458729,48.6667,-119.6333,ghcn,daily,US
USC00458773,45.6778,-122.6511,ghcn,daily,US
USC00458778,45.6211,-122.6742,ghcn,daily,US
USC00458802,47.45,-122.5,ghcn,daily,US
USC00458903,46.65,-119.7167,ghcn,daily,US
USC00458926,46.05,-118.4,ghcn,daily,US
USC00458927,46.1,-118.1667,ghcn,daily,US
USC00458930,46.0639,-118.3164,ghcn,daily,US
USC00458932,46.0922,-118.2592,ghcn,daily,US
USC00458959,46.4353,-120.4203,ghcn,daily,US
USC00458999,45.6,-122.1833,ghcn,daily,US
USC00459012,47.6497,-120.08,ghcn,daily,US
USC00459021,47.3725,-122.7028,ghcn,daily,US
USC00459024,46.65,-117.4,ghcn,daily,US
USC00459058,47.8964,-117.9933,ghcn,daily,US
USC00459074,47.4289,-120.31,ghcn,daily,US
USC00459077,47.3667,-120.3667,ghcn,daily,US
USC00459079,47.4333,-120.35,ghcn,daily,US
USC00459090,48.85,-122.6,ghcn,daily,US
USC00459112,46.8708,-124.1083,ghcn,daily,US
USC00459130,47.1333,-119.0833,ghcn,daily,US
USC00459160,46.65,-119.45,ghcn,daily,US
USC00459170,46.9333,-121.5333,ghcn,daily,US
USC00459171,46.9,-121.55,ghcn,daily,US
USC00459183,45.7667,-121.4833,ghcn,daily,US
USC00459185,45.8167,-121.4,ghcn,daily,US
USC00459191,46.3833,-120.7167,ghcn,daily,US
USC00459200,46.0436,-118.4628,ghcn,daily,US
USC00459238,47.7681,-118.7239,ghcn,daily,US
USC00459291,46.6833,-123.75,ghcn,daily,US
USC00459294,48.7833,-121.6333,ghcn,daily,US
USC00459327,47.4167,-119.1167,ghcn,daily,US
USC00459342,45.8,-121.9333,ghcn,daily,US
USC00459376,48.4742,-120.1886,ghcn,daily,US
USC00459397,47.7167,-119.8167,ghcn,daily,US
USC00459449,47.3333,-123.6333,ghcn,daily,US
USC00459455,46.5742,-120.6008,ghcn,daily,US
USC00459460,46.6167,-120.4333,ghcn,daily,US
USC00459463,46.5861,-120.5681,ghcn,daily,US
USC00459485,46.95,-122.6,ghcn,daily,US
USC00459600,46.4167,-120.2167,ghcn,daily,US
USC00459630,46.2333,-117.05,ghcn,daily,US
USC00460012,39.0667,-80.3,ghcn,daily,US
USC00460094,39.4881,-79.6369,ghcn,daily,US
USC00460102,37.7272,-80.6592,ghcn,daily,US
USC00460107,38.7833,-80.2167,ghcn,daily,US
USC00460143,38.9167,-79.6667,ghcn,daily,US
USC00460170,39.0333,-80.6667,ghcn,daily,US
USC00460202,38.1211,-81.1178,ghcn,daily,US
USC00460249,38.4333,-79.8167,ghcn,daily,US
USC00460307,38.9,-80.5167,ghcn,daily,US
USC00460355,37.4225,-81.0256,ghcn,daily,US
USC00460370,39.0931,-80.85,ghcn,daily,US
USC00460450,38.5167,-81.85,ghcn,daily,US
USC00460509,38.5311,-79.7714,ghcn,daily,US
USC00460527,39.2728,-79.3683,ghcn,daily,US
USC00460580,37.7647,-81.1939,ghcn,daily,US
USC00460633,39.0231,-79.9331,ghcn,daily,US
USC00460645,39.15,-81.75,ghcn,daily,US
USC00460661,38.2333,-81.1833,ghcn,daily,US
USC00460679,39.15,-80.55,ghcn,daily,US
USC00460687,39.4667,-81.1,ghcn,daily,US
USC00460710,39.6167,-78.2167,ghcn,daily,US
USC00460712,39.5719,-78.2503,ghcn,daily,US
USC00460718,39.05,-80.35,ghcn,daily,US
USC00460740,38.85,-79.8667,ghcn,daily,US
USC00460784,38.6033,-81.0328,ghcn,daily,US
USC00460824,38.9667,-80.4333,ghcn,daily,US
USC00460842,38.4919,-80.8022,ghcn,daily,US
USC00460843,38.4569,-80.7931,ghcn,daily,US
