station_id,lat,lon,source,reports,country
UCC08,41.745,-111.789,madis,subhourly,US
UCC09,41.763,-111.879,madis,subhourly,US
UCC10,41.694,-111.833,madis,subhourly,US
UCC11,41.601,-111.567,madis,subhourly,US
UCC12,41.519,-112.174,madis,subhourly,US
UCC13,40.067,-111.629,madis,subhourly,US
UCC14,40.631,-111.92,madis,subhourly,US
UCC15,39.689,-111.877,madis,subhourly,US
UCC16,38.957,-112,madis,subhourly,US
UCC17,38.824,-112,madis,subhourly,US
UCC18,38.04,-112.711,madis,subhourly,US
UCC19,37.869,-112.422,madis,subhourly,US
UCC20,37.862,-112.881,madis,subhourly,US
UCC21,37.673,-113.137,madis,subhourly,US
UCC22,37.72,-113.702,madis,subhourly,US
UCC23,41.766,-111.811,madis,subhourly,US
UCC24,38.071,-109.567,madis,subhourly,US
UCC25,40.983,-109.728,madis,subhourly,US
UCC26,41.666,-111.891,madis,subhourly,US
UCC27,41.497,-111.819,madis,subhourly,US
UCC28,41.572,-111.855,madis,subhourly,US
UCC29,41.536,-111.806,madis,subhourly,US
UCC30,41.167,-112.05,madis,subhourly,US
UCC31,41.934,-111.42,madis,subhourly,US
UCC32,41.896,-112.048,madis,subhourly,US
UCC33,40.458,-109.562,madis,subhourly,US
UCC34,40.373,-110.209,madis,subhourly,US
UCC35,38.383,-111.636,madis,subhourly,US
UCC36,36.691,-107.914,madis,subhourly,US
UCC37,42.54,-110.195,madis,subhourly,US
UCC38,39.059,-110.091,madis,subhourly,US
UCC39,39.094,-108.37,madis,subhourly,US
UCC40,40.36,-111.978,madis,subhourly,US
UCC41,40.313,-112.031,madis,subhourly,US
UCCC1,34.124,-116.409,madis,subhourly,US
UCCT2,29.586,-95.386,madis,subhourly,US
UCDE,33.648,-116.378,madis,subhourly,US
UCEA2,65.099,-145.082,madis,subhourly,US
UCEL,32.892,-117.092,madis,subhourly,US
UCHA,36.386,-121.55,madis,subhourly,US
UCHA2,64.903,-146.357,madis,subhourly,US
UCI01,33.849,-117.703,madis,subhourly,US
UCI02,33.774,-117.752,madis,subhourly,US
UCI03,33.742,-117.704,madis,subhourly,US
UCI04,33.633,-117.769,madis,subhourly,US
UCI05,33.576,-117.793,madis,subhourly,US
UCI07,33.574,-117.839,madis,subhourly,US
UCJA,33.809,-116.775,madis,subhourly,US
UCJP,38.268,-121.828,madis,subhourly,US
UCL01,41.786,-111.781,madis,subhourly,US
UCL02,41.55,-111.85,madis,subhourly,US
UCL03,41.786,-111.773,madis,subhourly,US
UCL04,41.872,-111.809,madis,subhourly,US
UCL05,38.499,-113.576,madis,subhourly,US
UCL06,41.906,-111.554,madis,subhourly,US
UCL07,41.866,-111.512,madis,subhourly,US
UCL12,39.451,-112.638,madis,subhourly,US
UCL13,40.36,-110.181,madis,subhourly,US
UCL14,42.434,-112.129,madis,subhourly,US
UCL15,42.107,-111.894,madis,subhourly,US
UCL16,42.255,-111.339,madis,subhourly,US
UCL17,39.22,-111.07,madis,subhourly,US
UCL18,39.421,-110.838,madis,subhourly,US
UCL19,39.307,-110.977,madis,subhourly,US
UCL20,39.076,-111.154,madis,subhourly,US
UCL21,40.181,-109.668,madis,subhourly,US
UCL22,40.162,-110.107,madis,subhourly,US
UCL23,40.531,-112.757,madis,subhourly,US
UCL24,39.543,-111.482,madis,subhourly,US
UCL25,38.744,-112.084,madis,subhourly,US
UCL26,38.524,-109.484,madis,subhourly,US
UCL27,37.63,-112.043,madis,subhourly,US
UCL28,39.228,-112.099,madis,subhourly,US
UCL29,42.078,-110.956,madis,subhourly,US
UCL30,41.197,-111.029,madis,subhourly,US
UCMO,33.805,-117.256,madis,subhourly,US
UCNC2,37.061,-102.63,madis,subhourly,US
UCRC1,33.967,-117.35,madis,subhourly,US
UCRM,35.534,-121.083,madis,subhourly,US
UCSC,33.999,-119.686,madis,subhourly,US
UCSE,34.694,-120.042,madis,subhourly,US
UCSH,37.614,-118.833,madis,subhourly,US
UCSR,34.095,-118.657,madis,subhourly,US
UCTC1,34.432,-119.845,madis,subhourly,US
UCTP1,41.92,-79.9,madis,subhourly,US
UCYL,36.949,-122.066,madis,subhourly,US
UDCT2,31.798,-105.581,madis,subhourly,US
UDDU1,41.864,-111.506,madis,subhourly,US
UDET2,29.246,-99.674,madis,subhourly,US
UDGW4,44.103,-109.143,madis,subhourly,US
UDWC1,40.721,-123.496,madis,subhourly,US
UDX ,44.133,-102.833,isd,hourly,US
UEHN1,41.713,-96.522,madis,subhourly,US
UFD08,40.943,-112.562,madis,subhourly,US
UFD09,40.925,-112.159,madis,subhourly,US
UFGC2,37.447,-105.425,madis,subhourly,US
UGGC1,32.54,-117.087,madis,subhourly,US
UHGM6,33.777,-90,madis,subhourly,US
UHLC1,35.887,-118.648,madis,subhourly,US
UHRO1,40.406,-81.344,madis,subhourly,US
UHSA2,61.121,-149.722,madis,subhourly,US
UINI2,39.932,-91.415,madis,subhourly,US
UINU1,40.285,-109.862,madis,subhourly,US
UJCV2,37.456,-80.32,madis,subhourly,US
UJVU1,39.416,-111.249,madis,subhourly,US
UKALF,39.429,-111.37,madis,subhourly,US
UKIO3,45.135,-118.936,madis,subhourly,US
ULBC1,38.342,-120.365,madis,subhourly,US
ULMM8,47.435,-111.388,madis,subhourly,US
ULMT,47.403,-111.507,madis,subhourly,US
ULSA3,34.571,-113.067,madis,subhourly,US
ULUH1,20.649,-156.398,madis,subhourly,US
UMAO3,45.903,-119.326,madis,subhourly,US
UMBT2,34.849,-102.176,madis,subhourly,US
UMGC1,34.154,-116.692,madis,subhourly,US
UMGM5,44.99,-93.18,madis,subhourly,US
UMHM,46.447,-109.94,madis,subhourly,US
UMHM8,46.447,-109.94,madis,subhourly,US
UMKC1,38.518,-121.369,madis,subhourly,US
UMLF1,28.919,-81.632,madis,subhourly,US
UMMO3,45.795,-119.323,madis,subhourly,US
UMNC1,37.158,-121.904,madis,subhourly,US
UMTA2,69.37,-152.136,madis,subhourly,US
UMTO3,45.917,-119.567,madis,subhourly,US
UMTW1,46.863,-120.479,madis,subhourly,US
UNCA2,65.367,-146.592,madis,subhourly,US
UNCC3,41.514,-73.067,madis,subhourly,US
UNCK2,38.587,-83.921,madis,subhourly,US
UNDC1,38.038,-119.169,madis,subhourly,US
UNFN7,35.367,-79.867,madis,subhourly,US
UNGO2,34.027,-95.75,madis,subhourly,US
UNGW2,39.442,-78.231,madis,subhourly,US
UNIG1,32.153,-84.906,madis,subhourly,US
UNIO1,40.783,-80.929,madis,subhourly,US
