station_id,lat,lon,source,reports,country
PU423,41.194,-111.943,madis,subhourly,US
PU424,40.615,-111.831,madis,subhourly,US
PU425,40.615,-111.831,madis,subhourly,US
PU426,40.696,-111.877,madis,subhourly,US
PU427,40.696,-111.877,madis,subhourly,US
PU428,40.767,-111.867,madis,subhourly,US
PU429,40.767,-111.867,madis,subhourly,US
PU430,40.788,-111.732,madis,subhourly,US
PU431,40.788,-111.732,madis,subhourly,US
PU432,40.7,-112.012,madis,subhourly,US
PU433,40.7,-112.012,madis,subhourly,US
PU434,40.385,-111.99,madis,subhourly,US
PU435,40.385,-111.99,madis,subhourly,US
PU436,40.774,-111.883,madis,subhourly,US
PU437,40.774,-111.883,madis,subhourly,US
PU438,39.112,-108.352,madis,subhourly,US
PU439,39.112,-108.352,madis,subhourly,US
PU440,40.785,-111.732,madis,subhourly,US
PU441,40.785,-111.732,madis,subhourly,US
PU442,40.529,-111.963,madis,subhourly,US
PU443,40.529,-111.963,madis,subhourly,US
PU444,40.543,-111.819,madis,subhourly,US
PU445,40.543,-111.819,madis,subhourly,US
PU446,40.473,-111.248,madis,subhourly,US
PU447,40.473,-111.248,madis,subhourly,US
PU448,40.764,-111.86,madis,subhourly,US
PU449,40.764,-111.86,madis,subhourly,US
PU450,41.124,-111.925,madis,subhourly,US
PU451,37.111,-113.55,madis,subhourly,US
PU452,37.111,-113.55,madis,subhourly,US
PU453,40.763,-111.777,madis,subhourly,US
PU454,40.763,-111.777,madis,subhourly,US
PU455,40.72,-111.82,madis,subhourly,US
PU456,40.72,-111.82,madis,subhourly,US
PU457,40.054,-111.674,madis,subhourly,US
PU458,40.054,-111.674,madis,subhourly,US
PU459,41.099,-111.981,madis,subhourly,US
PU460,41.099,-111.981,madis,subhourly,US
PU461,40.781,-111.866,madis,subhourly,US
PU463,40.452,-111.891,madis,subhourly,US
PU464,40.61,-111.794,madis,subhourly,US
PU465,40.61,-111.794,madis,subhourly,US
PU468,40.74,-111.607,madis,subhourly,US
PU469,40.74,-111.607,madis,subhourly,US
PU470,40.686,-111.828,madis,subhourly,US
PU471,40.686,-111.828,madis,subhourly,US
PU472,41.194,-112.104,madis,subhourly,US
PU473,41.194,-112.104,madis,subhourly,US
PU474,40.647,-112.026,madis,subhourly,US
PU475,40.647,-112.026,madis,subhourly,US
PU476,41.326,-111.966,madis,subhourly,US
PU477,41.326,-111.966,madis,subhourly,US
PU478,40.641,-112.301,madis,subhourly,US
PU479,40.641,-112.301,madis,subhourly,US
PU480,40.696,-111.958,madis,subhourly,US
PU481,40.696,-111.958,madis,subhourly,US
PU482,40.681,-111.807,madis,subhourly,US
PU483,40.681,-111.807,madis,subhourly,US
PU484,41.727,-112.253,madis,subhourly,US
PU485,41.727,-112.253,madis,subhourly,US
PU486,40.774,-111.851,madis,subhourly,US
PU487,40.774,-111.851,madis,subhourly,US
PU488,40.567,-112.306,madis,subhourly,US
PU489,40.567,-112.306,madis,subhourly,US
PU490,40.744,-111.876,madis,subhourly,US
PU493,40.922,-111.887,madis,subhourly,US
PU494,40.922,-111.887,madis,subhourly,US
PU495,40.377,-111.878,madis,subhourly,US
PU496,40.377,-111.878,madis,subhourly,US
PU497,40.261,-111.688,madis,subhourly,US
PU498,40.261,-111.688,madis,subhourly,US
PU499,40.48,-111.923,madis,subhourly,US
PU500,40.48,-111.923,madis,subhourly,US
PU501,39.105,-108.701,madis,subhourly,US
PU502,39.105,-108.701,madis,subhourly,US
PU503,39.098,-108.567,madis,subhourly,US
PU504,39.098,-108.567,madis,subhourly,US
PU505,38.728,-108.049,madis,subhourly,US
PU506,38.728,-108.049,madis,subhourly,US
PU507,40.284,-111.745,madis,subhourly,US
PU508,40.284,-111.745,madis,subhourly,US
PU509,39.102,-108.533,madis,subhourly,US
PU510,39.102,-108.533,madis,subhourly,US
PU511,39.064,-108.561,madis,subhourly,US
PU512,39.064,-108.561,madis,subhourly,US
PU513,41.486,-112.028,madis,subhourly,US
PU514,41.486,-112.028,madis,subhourly,US
PU515,39.051,-108.581,madis,subhourly,US
PU516,39.051,-108.581,madis,subhourly,US
PU519,39.158,-108.731,madis,subhourly,US
PU520,39.158,-108.731,madis,subhourly,US
PU521,40.338,-111.694,madis,subhourly,US
PU522,40.338,-111.694,madis,subhourly,US
PU523,40.34,-111.718,madis,subhourly,US
PU524,40.34,-111.718,madis,subhourly,US
PU525,40.338,-111.738,madis,subhourly,US
PU526,40.338,-111.738,madis,subhourly,US
PU527,39.039,-108.522,madis,subhourly,US
PU528,39.039,-108.522,madis,subhourly,US
PU529,39.103,-108.36,madis,subhourly,US
PU530,39.103,-108.36,madis,subhourly,US
PU531,38.937,-108.406,madis,subhourly,US
PU532,38.937,-108.406,madis,subhourly,US
PU533,41.111,-112.012,madis,subhourly,US
PU534,41.111,-112.012,madis,subhourly,US
PU535,40.593,-111.975,madis,subhourly,US
PU536,40.593,-111.975,madis,subhourly,US
PU537,41.196,-111.937,madis,subhourly,US
PU538,41.196,-111.937,madis,subhourly,US
PU539,41.192,-111.942,madis,subhourly,US
PU540,41.192,-111.942,madis,subhourly,US
PU541,41.194,-111.944,madis,subhourly,US
PU542,41.194,-111.944,madis,subhourly,US
PU543,41.195,-111.947,madis,subhourly,US
PU544,41.195,-111.947,madis,subhourly,US
PU545,41.193,-111.943,madis,subhourly,US
