station_id,lat,lon,source,reports,country
US1WYNT0052,42.829,-106.2989,ghcn,daily,US
US1WYNT0053,42.7668,-106.3551,ghcn,daily,US
US1WYNT0056,42.8515,-106.1323,ghcn,daily,US
US1WYNT0060,42.8327,-106.2788,ghcn,daily,US
US1WYNT0064,42.818,-106.3447,ghcn,daily,US
US1WYNT0065,42.7386,-106.3594,ghcn,daily,US
US1WYNT0068,42.8113,-106.3422,ghcn,daily,US
US1WYNT0071,42.8362,-106.3281,ghcn,daily,US
US1WYNT0072,42.8181,-106.3455,ghcn,daily,US
US1WYNT0076,42.8115,-106.3565,ghcn,daily,US
US1WYNT0077,43.4114,-106.2752,ghcn,daily,US
US1WYNT0080,42.6714,-106.5881,ghcn,daily,US
US1WYPK0001,44.497,-108.9617,ghcn,daily,US
US1WYPK0002,44.5158,-108.9586,ghcn,daily,US
US1WYPK0003,44.7537,-108.7372,ghcn,daily,US
US1WYPK0004,44.7321,-108.9973,ghcn,daily,US
US1WYPK0006,44.904,-109.1419,ghcn,daily,US
US1WYPK0007,44.5103,-109.0994,ghcn,daily,US
US1WYPK0008,44.7128,-108.8204,ghcn,daily,US
US1WYPK0009,44.1567,-108.8702,ghcn,daily,US
US1WYPK0010,44.5177,-109.0416,ghcn,daily,US
US1WYPK0011,44.7584,-108.7769,ghcn,daily,US
US1WYPK0013,44.7825,-108.6879,ghcn,daily,US
US1WYPK0014,44.4982,-108.9565,ghcn,daily,US
US1WYPK0015,44.1556,-108.8777,ghcn,daily,US
US1WYPK0016,44.6081,-108.9774,ghcn,daily,US
US1WYPK0018,44.4884,-108.9916,ghcn,daily,US
US1WYPK0019,44.7436,-108.7838,ghcn,daily,US
US1WYPK0021,44.6838,-108.7395,ghcn,daily,US
US1WYPK0022,44.1583,-108.8705,ghcn,daily,US
US1WYPK0023,44.4527,-109.1686,ghcn,daily,US
US1WYPK0025,44.508,-109.0389,ghcn,daily,US
US1WYPK0026,44.5292,-109.0755,ghcn,daily,US
US1WYPK0028,44.5193,-109.0384,ghcn,daily,US
US1WYPK0029,44.8046,-108.7594,ghcn,daily,US
US1WYPK0030,44.2996,-109.474,ghcn,daily,US
US1WYPK0031,44.5363,-109.0103,ghcn,daily,US
US1WYPK0033,44.5099,-109.0691,ghcn,daily,US
US1WYPK0034,44.5248,-109.0274,ghcn,daily,US
US1WYPK0035,44.5203,-109.0493,ghcn,daily,US
US1WYPK0036,44.5872,-108.9742,ghcn,daily,US
US1WYPK0037,44.5387,-109.0248,ghcn,daily,US
US1WYPK0038,44.613,-109.1359,ghcn,daily,US
US1WYPT0001,42.2298,-104.7101,ghcn,daily,US
US1WYPT0002,42.0561,-104.9745,ghcn,daily,US
US1WYPT0006,42.4758,-105.0721,ghcn,daily,US
US1WYPT0007,42.0212,-105.0409,ghcn,daily,US
US1WYPT0010,41.75,-104.83,ghcn,daily,US
US1WYPT0011,41.7079,-104.6719,ghcn,daily,US
US1WYPT0013,41.7895,-104.8467,ghcn,daily,US
