station_id,lat,lon,source,reports,country
USC00510999,20.8333,-156.3167,ghcn,daily,US
USC00511004,20.7603,-156.2469,ghcn,daily,US
USC00511008,20.7167,-156.2667,ghcn,daily,US
USC00511016,20.9158,-156.2864,ghcn,daily,US
USC00511033,19.4022,-155.2803,ghcn,daily,US
USC00511038,21.965,-159.4297,ghcn,daily,US
USC00511060,19.9333,-155.4,ghcn,daily,US
USC00511065,19.7614,-155.4561,ghcn,daily,US
USC00511075,20.8658,-156.3436,ghcn,daily,US
USC00511086,20.9233,-156.3403,ghcn,daily,US
USC00511100,20.7167,-156,ghcn,daily,US
USC00511122,20.75,-155.9833,ghcn,daily,US
USC00511125,20.7947,-156.0153,ghcn,daily,US
USC00511148,20.7,-156.0167,ghcn,daily,US
USC00511170,22.0833,-159.4667,ghcn,daily,US
USC00511195,22,-159.3667,ghcn,daily,US
USC00511207,21.9833,-159.5333,ghcn,daily,US
USC00511211,20.75,-156.0333,ghcn,daily,US
USC00511240,19.4333,-155.8167,ghcn,daily,US
USC00511270,19.6667,-155.1,ghcn,daily,US
USC00511300,19.5411,-154.9119,ghcn,daily,US
USC00511303,19.4297,-155.2561,ghcn,daily,US
USC00511308,21.2989,-157.6644,ghcn,daily,US
USC00511339,20.2403,-155.8389,ghcn,daily,US
USC00511370,21.4333,-157.8167,ghcn,daily,US
USC00511380,21.5667,-158.0536,ghcn,daily,US
USC00511384,21.55,-158,ghcn,daily,US
USC00511388,21.5333,-158.0333,ghcn,daily,US
USC00511460,19.1333,-155.5333,ghcn,daily,US
USC00511484,19.7333,-155.0833,ghcn,daily,US
USC00511487,19.6833,-155.1667,ghcn,daily,US
USC00511488,19.7167,-155.0833,ghcn,daily,US
USC00511494,20.85,-156.65,ghcn,daily,US
USC00511527,21.45,-158.05,ghcn,daily,US
USC00511540,21.3906,-158.0997,ghcn,daily,US
USC00511552,20.75,-156.2167,ghcn,daily,US
USC00511557,19.6347,-155.9078,ghcn,daily,US
USC00511562,19.6167,-155.9833,ghcn,daily,US
USC00511593,21.9333,-159.5333,ghcn,daily,US
USC00511602,20.2167,-155.8333,ghcn,daily,US
USC00511665,19.4175,-155.8806,ghcn,daily,US
USC00511701,19.9333,-155.15,ghcn,daily,US
USC00511850,20.0833,-155.4667,ghcn,daily,US
USC00511856,20.085,-155.4825,ghcn,daily,US
USC00511864,20.15,-155.7333,ghcn,daily,US
USC00511880,19.6786,-156.0214,ghcn,daily,US
USC00511882,20.965,-156.5914,ghcn,daily,US
USC00511887,20.9978,-156.6575,ghcn,daily,US
USC00511892,20.9333,-156.6167,ghcn,daily,US
USC00511914,21.0144,-156.6375,ghcn,daily,US
USC00511918,21.3153,-157.9992,ghcn,daily,US
USC00511920,20.7667,-156.05,ghcn,daily,US
USC00511921,20.7939,-156.0414,ghcn,daily,US
USC00511922,19.2019,-155.8617,ghcn,daily,US
USC00511925,21.3286,-157.9297,ghcn,daily,US
USC00511930,20.85,-156.1833,ghcn,daily,US
USC00511935,20.7778,-156.2311,ghcn,daily,US
USC00511940,20.8167,-156.2,ghcn,daily,US
USC00511955,19.8667,-155.1167,ghcn,daily,US
