1572985318,817
1572987238,800
1572987718,769
1572988198,748
1572988678,788
1572989158,739
1572989278,744
1572989398,768
1572989518,766
1572989638,764
1572989758,760
1572989878,758
1572989998,735
1572990118,727
1572990238,749
1572990358,736
1572990478,741
1572990598,723
1572990718,717
1572990838,723
1572990958,722
1572991078,717
1572991138,713
1572991198,706
1572991258,706
1572991318,706
1572991378,702
1572991438,701
1572991498,698
1572991558,695
1572991618,692
1572991678,690
1572991738,687
1572991798,684
1572991858,682
1572991918,679
1572991978,677
1572992038,674
1572992098,672
1572992158,669
1572992218,666
1572992278,663
1572992338,660
1572992398,657
1572992458,653
1572992518,650
1572992578,646
1572992638,643
1572992698,639
1572992758,634
1572992818,630
1572992878,626
1572992938,620
1572992998,615
1572993058,610
1572993118,605
1572993178,598
1572993238,592
1572993298,586
1572993358,580
1572993418,573
1572993478,566
1572993538,559
1572993598,551
1572993658,543
1572993718,536
1572993778,527
1572993838,519
1572993898,511
1572993958,502
1572994018,492
1572994078,483
1572994138,474
1572994198,464
1572994258,454
1572994318,444
1572994378,435
1572994438,425
1572994498,413
1572994558,401
1572994618,393
1572994678,381
1572994738,372
1572994798,361
1572994858,345
1572994918,335
1572995038,303
1572995158,270
1572995278,270
1572995398,128
1572995518,128
1572995638,128
1572995758,128
1572995878,128
1572995998,128
1572996118,128
1572996238,128
1573040467,303
1573040587,321
1573040647,330
1573040707,335
1573040767,350
1573040827,361
1573040887,370
1573040947,380
1573041007,391
1573041067,400
1573041127,413
1573041187,424
1573041247,433
1573041307,443
1573041367,453
1573041427,463
1573041487,472
1573041547,482
1573041607,491
1573041667,500
1573041727,509
1573041787,517
1573041847,528
1573041907,537
1573041967,548
1573042027,557
1573042087,565
1573042147,573
1573042207,579
1573042267,586
1573042327,592
1573042387,597
1573042447,600
1573042507,600
1573042567,598
1573042627,598
1573042687,600
1573042747,602
1573042807,604
1573042867,608
1573042927,612
1573042987,615
1573043047,618
1573043107,622
1573043167,626
1573043227,629
1573043287,633
1573043347,636
1573043407,639
1573043467,643
1573043527,647
1573043587,650
1573043647,653
1573043707,655
1573043767,658
1573043827,660
1573043887,664
1573043947,667
1573044007,670
1573044067,673
1573044127,676
1573044187,677
1573044247,678
1573044307,680
1573044367,682
1573044427,684
1573044547,689
1573044667,695
1573044787,696
1573044907,699
1573045027,703
1573045147,704
1573045267,705
1573045387,710
1573045507,715
1573045627,714
1573045747,716
1573045867,724
1573045987,726
1573046107,731
1573046227,739
1573046347,747
1573046827,753
1573047307,734
1573047787,739
1573048267,740
1573050187,764
1573052107,779
1573054027,795
1573055947,795
1573057867,812
1573060198,846
1573062118,825
1573064038,810
1573065958,825
1573067878,794
1573069798,815
1573071718,819
1573073638,802
1573074118,797
1573074598,791
1573075078,784
1573075558,779
1573075678,777
1573075798,775
1573075918,774
1573076038,772
1573076158,771
