Lux,		 day 0,		 day 1,		 day 2,		 day 3,		 day 4,		 day 5,		 day 6,		 day 7,		 day 8,		 day 9,		 day 10,		 day 11,		 day 12,		 day 13,		 day 14,		 day 15,		 day 16,		 day 17,		
29.00,		  6810,		  7570,		  7180,		  6550,		  7240,		  6080,		  6410,		  8000,		  6550,		  5420,		  5320,		  5130,		  5100,		  5290,		  5420,		  5980,		  5090,		  5190
30.00,		  6830,		  7590,		  7190,		  6570,		  7260,		  6090,		  6420,		  8010,		  6580,		  5430,		  5330,		  5140,		  5110,		  5300,		  5430,		  5980,		  5100,		  5200
31.00,		  6840,		  7610,		  7200,		  6590,		  7270,		  6100,		  6430,		  8010,		  6600,		  5450,		  5340,		  5160,		  5120,		  5310,		  5450,		  5990,		  5110,		  5210
32.00,		  6850,		  7620,		  7210,		  6610,		  7280,		  6110,		  6430,		  8030,		  6630,		  5460,		  5350,		  5170,		  5130,		  5320,		  5460,		  5990,		  5130,		  5230
33.00,		  6870,		  7630,		  7220,		  6640,		  7290,		  6120,		  6440,		  8050,		  6640,		  5470,		  5360,		  5180,		  5140,		  5330,		  5500,		  6000,		  5140,		  5250
34.00,		  6880,		  7640,		  7230,		  6660,		  7290,		  6130,		  6450,		  8070,		  6660,		  5480,		  5380,		  5200,		  5150,		  5340,		  5510,		  6000,		  5150,		  5260
35.00,		  6890,		  7650,		  7250,		  6680,		  7300,		  6150,		  6450,		  8110,		  6670,		  5500,		  5390,		  5210,		  5160,		  5350,		  5520,		  6010,		  5160,		  5270
36.00,		  6910,		  7660,		  7260,		  6690,		  7310,		  6150,		  6460,		  8130,		  6690,		  5500,		  5400,		  5220,		  5170,		  5360,		  5530,		  6020,		  5170,		  5290
37.00,		  6920,		  7670,		  7490,		  6710,		  7320,		  6200,		  6460,		  8140,		  6710,		  5510,		  5410,		  5230,		  5180,		  5370,		  5530,		  6020,		  5190,		  5300
38.00,		  6930,		  7680,		  7510,		  6740,		  7330,		  6200,		  6470,		  8150,		  6720,		  5520,		  5430,		  5240,		  5190,		  5380,		  5540,		  6110,		  5200,		  5320
39.00,		  6940,		  7680,		  7520,		  6750,		  7340,		  6210,		  6470,		  8160,		  6740,		  5540,		  5440,		  5250,		  5200,		  5390,		  5550,		  6130,		  5210,		  5330
40.00,		  6960,		  7690,		  7540,		  6760,		  7340,		  6220,		  6520,		  8180,		  6760,		  5550,		  5450,		  5270,		  5210,		  5400,		  5560,		  6170,		  5220,		  5340
41.00,		  6970,		  7700,		  7550,		  6780,		  7350,		  6240,		  6530,		  8220,		  6770,		  5560,		  5460,		  5280,		  5220,		  5410,		  5570,		  6180,		  5240,		  5350
42.00,		  6980,		  7700,		  7550,		  6790,		  7360,		  6250,		  6540,		  8240,		  6790,		  5570,		  5470,		  5290,		  5230,		  5420,		  5580,		  6270,		  5240,		  5360
43.00,		  6990,		  7710,		  7560,		  6810,		  7370,		  6260,		  6550,		  8250,		  6810,		  5580,		  5480,		  5300,		  5240,		  5430,		  5590,		  6280,		  5250,		  5370
44.00,		  7000,		  7720,		  7570,		  6820,		  7380,		  6300,		  6550,		  8270,		  6820,		  5590,		  5490,		  5310,		  5250,		  5440,		  5610,		  6280,		  5260,		  5390
45.00,		  7010,		  7720,		  7580,		  6830,		  7380,		  6310,		  6560,		  8790,		  6840,		  5600,		  5500,		  5330,		  5260,		  5450,		  5610,		  6290,		  5270,		  5400
46.00,		  7030,		  7730,		  7580,		  6850,		  7390,		  6320,		  6560,		  8790,		  6860,		  5610,		  5510,		  5340,		  5260,		  5460,		  5640,		  6300,		  5280,		  5410
47.00,		  7040,		  7740,		  7590,		  6860,		  7400,		  6340,		  6570,		  8800,		  6870,		  5620,		  5520,		  5350,		  5270,		  5470,		  5640,		  6520,		  5290,		  5420
48.00,		  7050,		  7750,		  7600,		  6870,		  7400,		  6350,		  6570,		  8810,		  6880,		  5630,		  5530,		  5360,		  5280,		  5480,		  5650,		  6550,		  5300,		  5430
49.00,		  7060,		  7750,		  7610,		  6880,		  7410,		  6360,		  6570,		  8810,		  6900,		  5640,		  5540,		  5370,		  5290,		  5490,		  5660,		  6560,		  5300,		  5440
50.00,		  7070,		  7760,		  7630,		  6890,		  7420,		  6450,		  6580,		  8820,		  6910,		  5650,		  5550,		  5380,		  5300,		  5500,		  5670,		  6560,		  5320,		  5450
51.00,		  7080,		  7770,		  7740,		  6900,		  7420,		  6450,		  6580,		  8830,		  6930,		  5660,		  5560,		  5380,		  5310,		  5500,		  5680,		  6570,		  5320,		  5470
52.00,		  7090,		  7780,		  7750,		  6910,		  7430,		  6460,		  6580,		  8830,		  6940,		  5670,		  5570,		  5390,		  5320,		  5510,		  5690,		  6570,		  5330,		  5480
53.00,		  7100,		  7780,		  7760,		  6920,		  7430,		  6470,		  6580,		  8850,		  6950,		  5670,		  5570,		  5400,		  5320,		  5520,		  5700,		  6580,		  5340,		  5490
54.00,		  7110,		  7790,		  7770,		  6940,		  7440,		  6490,		  6580,		  8860,		  6970,		  5680,		  5580,		  5410,		  5330,		  5530,		  5710,		  6580,		  5350,		  5500
55.00,		  7120,		  7810,		  7780,		  6950,		  7450,		  6630,		  6590,		  8880,		  6980,		  5690,		  5590,		  5430,		  5340,		  5540,		  5720,		  6590,		  5350,		  5520
56.00,		  7130,		  7820,		  7790,		  6960,		  7460,		  6640,		  6590,		  8890,		  6990,		  5700,		  5600,		  5440,		  5350,		  5550,		  5730,		  6600,		  5360,		  5530
57.00,		  7140,		  7840,		  7810,		  6970,		  7460,		  6650,		  6590,		  8910,		  7000,		  5710,		  5610,		  5440,		  5360,		  5550,		  5730,		  6600,		  5370,		  5540
58.00,		  7150,		  7860,		  7940,		  6980,		  7470,		  6650,		  6590,		  8920,		  7020,		  5720,		  5620,		  5450,		  5360,		  5560,		  5750,		  6610,		  5380,		  5550
59.00,		  7160,		  7870,		  7950,		  6990,		  7480,		  6650,		  6590,		  8930,		  7030,		  5730,		  5630,		  5460,		  5370,		  5570,		  5750,		  6610,		  5390,		  5560
60.00,		  7160,		  7890,		  7950,		  7000,		  7490,		  6660,		  6590,		  8930,		  7040,		  5730,		  5640,		  5470,		  5380,		  5580,		  5760,		  6620,		  5390,		  5570
61.00,		  7180,		  7900,		  7960,		  7020,		  7490,		  6660,		  6600,		  8940,		  7060,		  5750,		  5650,		  5480,		  5380,		  5590,		  5770,		  6620,		  5400,		  5580
62.00,		  7180,		  7910,		  7970,		  7030,		  7500,		  6670,		  6600,		  8950,		  7070,		  5750,		  5650,		  5490,		  5390,		  5600,		  5820,		  6620,		  5410,		  5590
63.00,		  7190,		  7930,		  7970,		  7040,		  7510,		  6670,		  6600,		  8950,		  7080,		  5760,		  5660,		  5490,		  5400,		  5600,		  5820,		  6620,		  5420,		  5600
64.00,		  7200,		  7940,		  7980,		  7040,		  7510,		  6670,		  6600,		  8970,		  7090,		  5770,		  5670,		  5510,		  5400,		  5610,		  5830,		  6630,		  5430,		  5610
65.00,		  7210,		  7950,		  7980,		  7050,		  7510,		  6670,		  6610,		  8980,		  7100,		  5780,		  5680,		  5510,		  5410,		  5620,		  5830,		  6630,		  5440,		  5610
66.00,		  7220,		  7960,		  7990,		  7060,		  7520,		  6680,		  6610,		  8980,		  7110,		  5790,		  5680,		  5520,		  5420,		  5630,		  5840,		  6630,		  5440,		  5630
67.00,		  7230,		  7970,		  7990,		  7070,		  7520,		  6680,		  6870,		  8990,		  7130,		  5790,		  5690,		  5530,		  5430,		  5640,		  5840,		  6630,		  5450,		  5640
68.00,		  7240,		  7980,		  7990,		  7080,		  7530,		  6680,		  6880,		  9000,		  7140,		  5800,		  5700,		  5540,		  5430,		  5640,		  5840,		  6630,		  5460,		  5650
69.00,		  7250,		  7980,		  8000,		  7080,		  7530,		  6680,		  6880,		  9000,		  7160,		  5810,		  5700,		  5550,		  5440,		  5650,		  5850,		  6640,		  5460,		  5650
70.00,		  7250,		  7990,		  8000,		  7090,		  7540,		  6680,		  6890,		  9010,		  7170,		  5820,		  5710,		  5560,		  5440,		  5660,		  5850,		  6640,		  5470,		  5670
71.00,		  7260,		  8000,		  8000,		  7100,		  7540,		  6690,		  6890,		  9010,		  7180,		  5820,		  5720,		  5570,		  5450,		  5670,		  5850,		  6640,		  5480,		  5680
72.00,		  7270,		  8000,		  8010,		  7110,		  7550,		  6700,		  6900,		  9020,		  7200,		  5830,		  5720,		  5580,		  5460,		  5670,		  5860,		  6640,		  5490,		  5690
73.00,		  7280,		  8010,		  8010,		  7110,		  7550,		  6780,		  6910,		  9020,		  7210,		  5830,		  5730,		  5580,		  5460,		  5680,		  5870,		  6640,		  5500,		  5690
74.00,		  7290,		  8020,		  8020,		  7130,		  7550,		  6810,		  6910,		  9020,		  7220,		  5840,		  5740,		  5590,		  5470,		  5690,		  5870,		  6650,		  5500,		  5710
75.00,		  7300,		  8020,		  8020,		  7130,		  7560,		  6810,		  6920,		  9030,		  7240,		  5850,		  5750,		  5590,		  5480,		  5690,		  5870,		  6650,		  5510,		  5710
76.00,		  7300,		  8030,		  8020,		  7140,		  7560,		  6810,		  6930,		  9030,		  7250,		  5860,		  5750,		  5600,		  5480,		  5700,		  5880,		  6650,		  5520,		  5720
77.00,		  7310,		  8030,		  8020,		  7150,		  7560,		  6810,		  6930,		  9030,		  7270,		  5860,		  5760,		  5610,		  5490,		  5700,		  5880,		  6650,		  5530,		  5730
78.00,		  7320,		  8040,		  8030,		  7150,		  7570,		  6820,		  6940,		  9040,		  7280,		  5870,		  5770,		  5620,		  5490,		  5710,		  5890,		  6650,		  5530,		  5740
79.00,		  7330,		  8040,		  8030,		  7160,		  7570,		  6820,		  6940,		  9040,		  7290,		  5880,		  5770,		  5620,		  5500,		  5720,		  5890,		  6660,		  5540,		  5750
80.00,		  7340,		  8050,		  8030,		  7160,		  7580,		  6820,		  6940,		  9040,		  7300,		  5890,		  5780,		  5630,		  5510,		  5720,		  5890,		  6660,		  5550,		  5750
81.00,		  7340,		  8060,		  8030,		  7170,		  7580,		  6830,		  6950,		  9050,		  7320,		  5890,		  5790,		  5630,		  5510,		  5730,		  5900,		  6660,		  5550,		  5760
82.00,		  7350,		  8060,		  8040,		  7180,		  7580,		  6830,		  6950,		  9050,		  7330,		  5900,		  5790,		  5640,		  5520,		  5730,		  5900,		  6660,		  5560,		  5770
83.00,		  7360,		  8070,		  8040,		  7190,		  7590,		  6840,		  6960,		  9050,		  7340,		  5910,		  5800,		  5650,		  5530,		  5740,		  5910,		  6670,		  5570,		  5780
84.00,		  7370,		  8080,		  8040,		  7190,		  7590,		  6840,		  6960,		  9060,		  7350,		  5920,		  5810,		  5660,		  5530,		  5750,		  5910,		  6670,		  5570,		  5790
85.00,		  7370,		  8080,		  8040,		  7200,		  7590,		  6850,		  6970,		  9060,		  7360,		  5920,		  5810,		  5660,		  5540,		  5750,		  5920,		  6670,		  5580,		  5800
86.00,		  7380,		  8090,		  8050,		  7200,		  7600,		  6850,		  6970,		  9060,		  7370,		  5930,		  5820,		  5670,		  5540,		  5760,		  5920,		  6680,		  5580,		  5800
87.00,		  7390,		  8100,		  8050,		  7210,		  7600,		  6860,		  6970,		  9070,		  7390,		  5940,		  5830,		  5670,		  5550,		  5760,		  5930,		  6680,		  5600,		  5810
88.00,		  7390,		  8110,		  8050,		  7210,		  7600,		  6890,		  6970,		  9070,		  7400,		  5950,		  5830,		  5680,		  5560,		  5770,		  5940,		  6680,		  5600,		  5820
89.00,		  7400,		  8120,		  8060,		  7220,		  7610,		  6910,		  6980,		  9070,		  7410,		  5950,		  5840,		  5680,		  5560,		  5770,		  5940,		  6680,		  5610,		  5830
90.00,		  7410,		  8140,		  8060,		  7230,		  7610,		  6910,		  6980,		  9080,		  7420,		  5960,		  5840,		  5690,		  5570,		  5780,		  5950,		  6690,		  5610,		  5840
91.00,		  7420,		  8380,		  8060,		  7230,		  7610,		  6920,		  6980,		  9080,		  7440,		  5970,		  5850,		  5700,		  5580,		  5790,		  5960,		  6690,		  5620,		  5850
92.00,		  7420,		  8390,		  8060,		  7240,		  7620,		  6920,		  6980,		  9080,		  7450,		  5980,		  5860,		  5700,		  5580,		  5790,		  5960,		  6690,		  5630,		  5860
93.00,		  7430,		  8390,		  8060,		  7240,		  7630,		  6920,		  6980,		  9090,		  7470,		  5980,		  5860,		  5710,		  5590,		  5800,		  5970,		  6690,		  5630,		  5860
94.00,		  7440,		  8400,		  8070,		  7240,		  7650,		  6930,		  6980,		  9090,		  7490,		  5990,		  5870,		  5710,		  5590,		  5810,		  5980,		  6690,		  5640,		  5870
95.00,		  7440,		  8410,		  8070,		  7250,		  7670,		  6950,		  6990,		  9100,		  7510,		  6000,		  5870,		  5720,		  5600,		  5810,		  5990,		  6690,		  5640,		  5880
96.00,		  7450,		  8410,		  8070,		  7260,		  7680,		  6950,		  6990,		  9100,		  7520,		  6000,		  5880,		  5730,		  5600,		  5820,		  6000,		  6700,		  5650,		  5890
97.00,		  7460,		  8420,		  8070,		  7260,		  7680,		  6960,		  6990,		  9100,		  7540,		  6010,		  5890,		  5730,		  5610,		  5820,		  6010,		  6700,		  5650,		  5900
98.00,		  7460,		  8420,		  8080,		  7260,		  7690,		  6960,		  6990,		  9110,		  7560,		  6020,		  5890,		  5740,		  5610,		  5830,		  6010,		  6700,		  5660,		  5900
99.00,		  7470,		  8430,		  8080,		  7270,		  7690,		  6960,		  6990,		  9110,		  7570,		  6020,		  5900,		  5740,		  5620,		  5830,		  6020,		  7010,		  5670,		  5910
