1589932800,989.25
1589936400,989.65
1589940000,990.1
1589943600,990.55
1589947200,990.55
1589950800,991.15
1589954400,991.2
1589958000,991.05
1589961600,991.15
1589965200,991.1
1589968800,991.7
1589972400,992.2
1589976000,993
1589979600,993.55
1589983200,994.15
1589986800,994.4
1589990400,994.5
1589994000,994.65
1589997600,994.55
1590001200,994.45
1590004800,994.05
1590008400,993.55
1590012000,993.5
1590015600,993.7
1590019200,993.9
1590022800,993.9
1590026400,994
1590030000,993.65
1590033600,993.55
1590037200,993.2
1590040800,993.1
1590044400,992.65
1590048000,992.35
1590051600,992.4
1590055200,992.6
1590058800,992.5
1590062400,992.8
1590066000,993.25
1590069600,993.55
1590073200,993.65
1590076800,993.6
1590080400,993.5
1590084000,993.15
1590087600,992.85
1590091200,992.3
1590094800,991.4
1590098400,991.25
1590102000,990.85
1590105600,990.8
1590109200,990.85
1590112800,991.05
1590116400,991.1
1590120000,990.85
1590123600,990.75
1590127200,990.3
1590130800,989.85
1590134400,989.5
1590138000,989.1
1590141600,989
1590145200,989.3
1590148800,989.3
1590152400,989.55
1590156000,989.65
1590159600,989.1
1590163200,989.2
1590166800,988.85
1590170400,988.9
1590174000,988.75
1590177600,988.4
1590181200,988.1
1590184800,987.8
1590188400,987.2
1590192000,986.95
1590195600,986.85
1590199200,987.45
1590202800,987
1590206400,987.45
1590210000,987.2
1590213600,987.1
1590217200,987.35
1590220800,987.25
1590224400,986.85
1590228000,987.25
1590231600,987.45
1590235200,988.1
1590238800,988.6
1590242400,989.05
1590246000,989.2
1590249600,989.2
1590253200,989.25
1590256800,988.75
1590260400,988.4
1590264000,988.15
1590267600,987.65
1590271200,987.75
1590274800,987.4
1590278400,987.05
1590282000,986.35
1590285600,986.65
1590289200,986.8
1590292800,986.45
1590296400,986.2
1590300000,985.35
1590303600,985.15
1590307200,985
1590310800,985
1590314400,985.45
1590318000,986
1590321600,986.35
1590325200,986.7
1590328800,987.1
1590332400,986.7
1590336000,986.95
1590339600,986.8
1590343200,986.35
1590346800,986.2
1590350400,985.9
1590354000,985.55
1590357600,985.35
1590361200,984.85
1590364800,984.75
1590368400,984.6
1590372000,984.95
1590375600,985.45
1590379200,985.55
1590382800,985.7
1590386400,985.5
1590390000,985.85
1590393600,986.05
1590397200,985.65
1590400800,986.05
1590404400,986.7
1590408000,987.65
1590411600,988.45
1590415200,989.15
1590418800,989.35
1590422400,989.4
1590426000,989.55
1590429600,989.45
1590433200,989.1
1590436800,988.45
1590440400,987.9
1590444000,987.9
1590447600,987.4
1590451200,987.75
1590454800,988
1590458400,988.3
1590462000,988.45
1590465600,988.3
1590469200,988.4
1590472800,988.35
1590476400,988.15
1590480000,987.85
1590483600,988.05
1590487200,988.35
1590490800,988.75
1590494400,989.35
1590498000,989.9
1590501600,990.35
1590505200,990.05
1590508800,990.15
1590512400,989.9
1590516000,989.5
1590519600,988.95
1590523200,988.55
1590526800,988.05
1590530400,987.65
1590534000,987.85
