Lux,		 day 0,		 day 1,		 day 2,		 day 3,		 day 4,		 day 5,		 day 6,		
71.00,		  8230,		  8060,		  7680,		  7850,		  8010,		  7810,		  7440
72.00,		  8230,		  8070,		  7680,		  7870,		  8020,		  7810,		  7440
73.00,		  8230,		  8070,		  7690,		  7870,		  8020,		  7820,		  7450
74.00,		  8240,		  8080,		  7700,		  7880,		  8030,		  7820,		  7450
75.00,		  8240,		  8080,		  7700,		  7880,		  8030,		  7830,		  7460
76.00,		  8240,		  8090,		  7700,		  7880,		  8040,		  7830,		  7470
77.00,		  8250,		  8090,		  7710,		  7890,		  8040,		  7850,		  7470
78.00,		  8250,		  8090,		  7710,		  7890,		  8050,		  7850,		  7480
79.00,		  8260,		  8100,		  7720,		  7900,		  8050,		  7860,		  7480
80.00,		  8260,		  8100,		  7730,		  7900,		  8060,		  7860,		  7490
81.00,		  8260,		  8110,		  7730,		  7900,		  8060,		  7860,		  7490
82.00,		  8270,		  8110,		  7730,		  7920,		  8060,		  7870,		  7500
83.00,		  8270,		  8110,		  7740,		  7920,		  8070,		  7870,		  7500
84.00,		  8280,		  8120,		  7740,		  7920,		  8070,		  7880,		  7510
85.00,		  8280,		  8120,		  7740,		  7930,		  8080,		  7880,		  7520
86.00,		  8280,		  8130,		  7750,		  7930,		  8080,		  7880,		  7520
87.00,		  8290,		  8130,		  7760,		  7940,		  8090,		  7890,		  7530
88.00,		  8290,		  8140,		  7760,		  7950,		  8090,		  7890,		  7530
89.00,		  8290,		  8140,		  7760,		  7950,		  8100,		  7900,		  7530
90.00,		  8300,		  8140,		  7770,		  7960,		  8100,		  7900,		  7540
91.00,		  8300,		  8150,		  7770,		  7960,		  8100,		  7910,		  7550
92.00,		  8310,		  8150,		  7770,		  7960,		  8110,		  7920,		  7550
93.00,		  8310,		  8160,		  7780,		  7960,		  8110,		  7920,		  7550
94.00,		  8310,		  8160,		  7780,		  7970,		  8120,		  7920,		  7560
95.00,		  8320,		  8160,		  7790,		  7970,		  8120,		  7930,		  7570
96.00,		  8330,		  8170,		  7790,		  7970,		  8130,		  7930,		  7570
97.00,		  8330,		  8170,		  7790,		  7980,		  8130,		  7940,		  7580
98.00,		  8330,		  8170,		  7800,		  7980,		  8130,		  7940,		  7580
99.00,		  8340,		  8180,		  7800,		  7990,		  8140,		  7950,		  7590
