"03-29-18_data_table_logger_20288025"
"Seconds past 5:00:00 AM","Intensity, Lux","log10(Intensity+1)"
2510,0.22,0.0863598
2520,0.22,0.0863598
2530,0.22,0.0863598
2540,0.22,0.0863598
2550,0.22,0.0863598
2560,0.22,0.0863598
2570,0.22,0.0863598
2580,0.22,0.0863598
2590,0.22,0.0863598
2600,0.22,0.0863598
2610,0.22,0.0863598
2620,0.22,0.0863598
2630,0.22,0.0863598
2640,0.22,0.0863598
2650,0.22,0.0863598
2660,0.22,0.0863598
2670,0.22,0.0863598
2680,0.22,0.0863598
2690,0.22,0.0863598
2700,0.22,0.0863598
2710,0.22,0.0863598
2720,0.22,0.0863598
2730,0.22,0.0863598
2740,0.22,0.0863598
2750,0.22,0.0863598
2760,0.22,0.0863598
2770,0,0
2780,0,0
2790,0.22,0.0863598
2800,0,0
2810,0.22,0.0863598
2820,0.22,0.0863598
2830,0.22,0.0863598
2840,0.22,0.0863598
2850,0.22,0.0863598
2860,0,0
2870,0.22,0.0863598
2880,0.22,0.0863598
2890,0,0
2900,0.22,0.0863598
2910,0.22,0.0863598
2920,0.22,0.0863598
2930,0.22,0.0863598
2940,0.22,0.0863598
2950,0.22,0.0863598
2960,0.22,0.0863598
2970,0.22,0.0863598
2980,0.22,0.0863598
2990,0.22,0.0863598
3000,0.22,0.0863598
3010,0.22,0.0863598
3020,0.22,0.0863598
3030,0.22,0.0863598
3040,0.22,0.0863598
3050,0.22,0.0863598
3060,0.22,0.0863598
3070,0.22,0.0863598
3080,0.22,0.0863598
3090,0,0
3100,0,0
3110,0,0
3120,0,0
3130,0.22,0.0863598
3140,0,0
3150,0.22,0.0863598
3160,0,0
3170,0,0
3180,0,0
3190,0.22,0.0863598
3200,0.22,0.0863598
3210,0.22,0.0863598
3220,0.22,0.0863598
3230,0.22,0.0863598
3240,0.22,0.0863598
3250,0.22,0.0863598
3260,0.22,0.0863598
3270,0.22,0.0863598
3280,0.22,0.0863598
3290,0.22,0.0863598
3300,0.22,0.0863598
3310,0.22,0.0863598
3320,0.22,0.0863598
3330,0.22,0.0863598
3340,0.22,0.0863598
3350,0.22,0.0863598
3360,0.22,0.0863598
3370,0.22,0.0863598
3380,0.22,0.0863598
3390,0.22,0.0863598
3400,0.22,0.0863598
3410,0.22,0.0863598
3420,0.22,0.0863598
3430,0.22,0.0863598
3440,0.22,0.0863598
3450,0.22,0.0863598
3460,0.22,0.0863598
3470,0.22,0.0863598
3480,0.22,0.0863598
3490,0.22,0.0863598
3500,0.22,0.0863598
3510,0.22,0.0863598
3520,0.22,0.0863598
3530,0.22,0.0863598
3540,0.22,0.0863598
3550,0.22,0.0863598
3560,0.22,0.0863598
3570,0.22,0.0863598
3580,0.22,0.0863598
3590,0.22,0.0863598
3600,0.22,0.0863598
3610,0.22,0.0863598
3620,0.22,0.0863598
3630,0.22,0.0863598
3640,0.22,0.0863598
3650,0.22,0.0863598
3660,0.22,0.0863598
3670,0.22,0.0863598
3680,0.22,0.0863598
3690,0.22,0.0863598
3700,0.22,0.0863598
3710,0.22,0.0863598
3720,0.22,0.0863598
3730,0.22,0.0863598
3740,0.22,0.0863598
3750,0.22,0.0863598
3760,0.22,0.0863598
3770,0.22,0.0863598
