"03-26-18_data_table_logger_20305334"
"Seconds past 5:00:00 AM","Intensity, Lux","log10(Intensity+1)"
0,0.68,0.225309
10,0.68,0.225309
20,0.68,0.225309
30,0.68,0.225309
40,0.68,0.225309
50,0.68,0.225309
60,0.68,0.225309
70,0.68,0.225309
80,0.68,0.225309
90,0.68,0.225309
100,0.68,0.225309
110,0.68,0.225309
120,0.68,0.225309
130,0.68,0.225309
140,0.68,0.225309
150,0.68,0.225309
160,0.68,0.225309
170,0.68,0.225309
180,0.68,0.225309
190,0.68,0.225309
200,0.68,0.225309
210,0.68,0.225309
220,0.68,0.225309
230,0.68,0.225309
240,0.68,0.225309
250,0.68,0.225309
260,0.68,0.225309
270,0.68,0.225309
280,0.68,0.225309
290,0.68,0.225309
300,0.68,0.225309
310,0.68,0.225309
320,0.68,0.225309
330,0.68,0.225309
340,0.68,0.225309
350,0.68,0.225309
360,0.68,0.225309
370,0.68,0.225309
380,0.68,0.225309
390,0.68,0.225309
400,0.68,0.225309
410,0.68,0.225309
420,0.68,0.225309
430,0.68,0.225309
440,0.68,0.225309
450,0.68,0.225309
460,0.68,0.225309
470,0.68,0.225309
480,0.68,0.225309
490,0.68,0.225309
500,0.68,0.225309
510,0.68,0.225309
520,0.68,0.225309
530,0.68,0.225309
540,0.68,0.225309
550,0.68,0.225309
560,0.68,0.225309
570,0.68,0.225309
580,0.68,0.225309
590,0.68,0.225309
600,0.68,0.225309
610,0.68,0.225309
620,0.68,0.225309
630,0.68,0.225309
640,0.68,0.225309
650,0.68,0.225309
660,0.68,0.225309
670,0.68,0.225309
680,0.68,0.225309
690,0.68,0.225309
700,0.68,0.225309
710,0.68,0.225309
720,0.68,0.225309
730,0.68,0.225309
740,0.68,0.225309
750,0.68,0.225309
760,0.68,0.225309
770,0.68,0.225309
780,0.68,0.225309
790,0.68,0.225309
800,0.68,0.225309
810,0.68,0.225309
820,0.68,0.225309
830,0.68,0.225309
840,0.68,0.225309
850,0.68,0.225309
860,0.68,0.225309
870,0.68,0.225309
880,0.68,0.225309
890,0.68,0.225309
900,0.68,0.225309
910,0.68,0.225309
920,0.68,0.225309
930,0.68,0.225309
940,0.68,0.225309
950,0.68,0.225309
960,0.68,0.225309
970,0.68,0.225309
980,0.68,0.225309
990,0.68,0.225309
1000,0.68,0.225309
1010,0.68,0.225309
1020,0.68,0.225309
1030,0.68,0.225309
1040,0.68,0.225309
1050,0.68,0.225309
1060,0.68,0.225309
1070,0.68,0.225309
1080,0.68,0.225309
1090,0.68,0.225309
1100,0.68,0.225309
1110,0.68,0.225309
1120,0.68,0.225309
1130,0.68,0.225309
1140,0.68,0.225309
1150,0.68,0.225309
1160,0.68,0.225309
1170,0.68,0.225309
1180,0.68,0.225309
1190,0.68,0.225309
1200,0.68,0.225309
1210,0.68,0.225309
1220,0.68,0.225309
1230,0.68,0.225309
1240,0.68,0.225309
1250,0.68,0.225309
1260,0.68,0.225309
1270,0.68,0.225309
1280,0.68,0.225309
1290,0.68,0.225309
1300,0.68,0.225309
1310,0.68,0.225309
1320,0.68,0.225309
1330,0.68,0.225309
1340,0.68,0.225309
1350,0.68,0.225309
1360,0.68,0.225309
1370,0.68,0.225309
1380,0.68,0.225309
1390,0.68,0.225309
1400,0.68,0.225309
1410,0.68,0.225309
1420,0.68,0.225309
1430,0.68,0.225309
1440,0.68,0.225309
1450,0.68,0.225309
1460,0.68,0.225309
1470,0.68,0.225309
1480,0.68,0.225309
1490,0.68,0.225309
1500,0.68,0.225309
1510,0.68,0.225309
1520,0.68,0.225309
1530,0.68,0.225309
1540,0.68,0.225309
1550,0.68,0.225309
1560,0.68,0.225309
1570,0.68,0.225309
1580,0.68,0.225309
1590,0.68,0.225309
1600,0.68,0.225309
1610,0.68,0.225309
1620,0.68,0.225309
1630,0.68,0.225309
1640,0.68,0.225309
1650,0.68,0.225309
1660,0.68,0.225309
1670,0.68,0.225309
1680,0.68,0.225309
1690,0.68,0.225309
1700,0.68,0.225309
1710,0.68,0.225309
1720,0.68,0.225309
1730,0.68,0.225309
1740,0.68,0.225309
1750,0.68,0.225309
1760,0.68,0.225309
1770,0.68,0.225309
1780,0.68,0.225309
1790,0.68,0.225309
1800,0.68,0.225309
1810,0.68,0.225309
1820,0.68,0.225309
1830,0.68,0.225309
1840,0.68,0.225309
1850,0.68,0.225309
1860,0.68,0.225309
1870,0.68,0.225309
1880,0.68,0.225309
1890,0.68,0.225309
1900,0.68,0.225309
1910,0.68,0.225309
1920,0.68,0.225309
1930,0.68,0.225309
1940,0.68,0.225309
1950,0.68,0.225309
1960,0.68,0.225309
1970,0.68,0.225309
1980,0.68,0.225309
1990,0.68,0.225309
2000,0.68,0.225309
2010,0.68,0.225309
2020,0.68,0.225309
2030,0.68,0.225309
2040,0.68,0.225309
2050,0.68,0.225309
2060,0.68,0.225309
2070,0.68,0.225309
2080,0.68,0.225309
2090,0.68,0.225309
2100,0.68,0.225309
2110,0.68,0.225309
2120,0.68,0.225309
2130,0.68,0.225309
2140,0.68,0.225309
2150,0.68,0.225309
2160,0.68,0.225309
2170,0.68,0.225309
2180,0.68,0.225309
2190,0.68,0.225309
2200,0.68,0.225309
2210,0.68,0.225309
2220,0.68,0.225309
2230,0.68,0.225309
2240,0.68,0.225309
2250,0.68,0.225309
2260,0.68,0.225309
2270,0.68,0.225309
2280,0.68,0.225309
2290,0.68,0.225309
2300,0.68,0.225309
2310,0.68,0.225309
2320,0.68,0.225309
2330,0.68,0.225309
2340,0.68,0.225309
2350,0.68,0.225309
2360,0.68,0.225309
2370,0.68,0.225309
2380,0.68,0.225309
2390,0.68,0.225309
2400,0.68,0.225309
2410,0.68,0.225309
2420,0.68,0.225309
2430,0.68,0.225309
2440,0.68,0.225309
2450,0.68,0.225309
2460,0.68,0.225309
2470,0.68,0.225309
2480,0.68,0.225309
2490,0.68,0.225309
2500,0.68,0.225309
2510,0.68,0.225309
2520,0.68,0.225309
2530,0.68,0.225309
2540,0.68,0.225309
2550,0.68,0.225309
2560,0.68,0.225309
2570,0.68,0.225309
2580,0.68,0.225309
2590,0.68,0.225309
2600,0.68,0.225309
2610,0.68,0.225309
2620,0.68,0.225309
2630,0.68,0.225309
2640,0.68,0.225309
2650,0.68,0.225309
2660,0.68,0.225309
2670,0.68,0.225309
2680,0.68,0.225309
2690,0.68,0.225309
2700,0.68,0.225309
2710,0.68,0.225309
2720,0.68,0.225309
2730,0.68,0.225309
2740,0.68,0.225309
2750,0.68,0.225309
2760,0.68,0.225309
2770,0.68,0.225309
2780,0.68,0.225309
2790,0.68,0.225309
2800,0.68,0.225309
2810,0.68,0.225309
2820,0.68,0.225309
2830,0.68,0.225309
2840,0.68,0.225309
2850,0.68,0.225309
2860,0.68,0.225309
2870,0.68,0.225309
2880,0.68,0.225309
2890,0.68,0.225309
2900,0.68,0.225309
2910,0.68,0.225309
2920,0.68,0.225309
2930,0.68,0.225309
2940,0.68,0.225309
2950,0.68,0.225309
2960,0.68,0.225309
2970,0.68,0.225309
2980,0.68,0.225309
2990,0.68,0.225309
3000,0.68,0.225309
3010,0.68,0.225309
3020,0.68,0.225309
3030,0.68,0.225309
3040,0.68,0.225309
3050,0.68,0.225309
3060,0.68,0.225309
3070,0.68,0.225309
3080,0.68,0.225309
3090,0.68,0.225309
3100,0.68,0.225309
3110,0.68,0.225309
3120,0.68,0.225309
3130,0.68,0.225309
3140,0.68,0.225309
3150,0.68,0.225309
3160,0.68,0.225309
3170,0.68,0.225309
3180,0.68,0.225309
3190,0.68,0.225309
3200,0.68,0.225309
3210,0.68,0.225309
3220,0.68,0.225309
3230,0.68,0.225309
3240,0.68,0.225309
3250,0.68,0.225309
3260,0.68,0.225309
3270,0.68,0.225309
3280,0.68,0.225309
3290,0.68,0.225309
3300,0.68,0.225309
3310,0.68,0.225309
3320,0.68,0.225309
3330,0.68,0.225309
3340,0.68,0.225309
3350,0.68,0.225309
3360,0.68,0.225309
3370,0.68,0.225309
3380,0.68,0.225309
3390,0.68,0.225309
3400,0.68,0.225309
3410,0.68,0.225309
3420,0.68,0.225309
3430,0.68,0.225309
3440,0.68,0.225309
3450,0.68,0.225309
3460,0.68,0.225309
3470,0.68,0.225309
3480,0.68,0.225309
3490,0.68,0.225309
3500,0.68,0.225309
3510,0.68,0.225309
3520,0.68,0.225309
3530,0.68,0.225309
3540,0.68,0.225309
3550,0.68,0.225309
3560,0.68,0.225309
3570,0.68,0.225309
3580,0.68,0.225309
3590,0.68,0.225309
3600,0.68,0.225309
3610,0.68,0.225309
3620,0.68,0.225309
3630,0.68,0.225309
3640,0.68,0.225309
3650,0.68,0.225309
3660,0.68,0.225309
3670,0.68,0.225309
3680,0.68,0.225309
3690,0.68,0.225309
3700,0.68,0.225309
3710,0.68,0.225309
3720,0.68,0.225309
3730,0.68,0.225309
3740,0.68,0.225309
3750,0.68,0.225309
3760,0.68,0.225309
3770,0.68,0.225309
3780,0.68,0.225309
3790,0.68,0.225309
3800,0.68,0.225309
3810,0.68,0.225309
3820,0.68,0.225309
3830,0.68,0.225309
3840,0.68,0.225309
3850,0.68,0.225309
3860,0.68,0.225309
3870,0.68,0.225309
3880,0.68,0.225309
3890,0.68,0.225309
3900,0.68,0.225309
3910,0.68,0.225309
3920,0.68,0.225309
3930,0.68,0.225309
3940,0.68,0.225309
3950,0.68,0.225309
3960,0.68,0.225309
3970,0.68,0.225309
3980,0.68,0.225309
3990,0.68,0.225309
4000,0.68,0.225309
4010,0.68,0.225309
4020,0.68,0.225309
4030,0.68,0.225309
4040,0.68,0.225309
4050,0.68,0.225309
4060,0.68,0.225309
4070,0.68,0.225309
4080,0.68,0.225309
4090,0.68,0.225309
4100,0.68,0.225309
4110,0.68,0.225309
4120,0.68,0.225309
4130,0.68,0.225309
4140,0.68,0.225309
4150,0.68,0.225309
4160,0.68,0.225309
4170,0.68,0.225309
4180,0.68,0.225309
4190,0.68,0.225309
4200,0.68,0.225309
4210,0.68,0.225309
4220,0.68,0.225309
4230,0.68,0.225309
4240,0.68,0.225309
4250,0.68,0.225309
4260,0.68,0.225309
4270,0.68,0.225309
4280,0.68,0.225309
4290,0.68,0.225309
4300,0.68,0.225309
4310,0.68,0.225309
4320,0.68,0.225309
4330,0.68,0.225309
4340,0.68,0.225309
4350,0.68,0.225309
4360,0.68,0.225309
4370,0.68,0.225309
4380,0.68,0.225309
4390,0.68,0.225309
4400,0.68,0.225309
4410,0.68,0.225309
4420,0.68,0.225309
4430,0.68,0.225309
4440,0.68,0.225309
4450,0.68,0.225309
4460,0.68,0.225309
4470,0.68,0.225309
4480,0.68,0.225309
4490,0.68,0.225309
4500,0.68,0.225309
4510,0.68,0.225309
4520,0.68,0.225309
4530,0.68,0.225309
4540,0.68,0.225309
4550,0.68,0.225309
4560,0.68,0.225309
4570,0.68,0.225309
4580,0.68,0.225309
4590,0.68,0.225309
4600,0.68,0.225309
4610,0.68,0.225309
4620,0.68,0.225309
4630,0.68,0.225309
4640,0.68,0.225309
4650,0.68,0.225309
4660,0.68,0.225309
4670,0.68,0.225309
4680,0.68,0.225309
4690,0.68,0.225309
4700,0.68,0.225309
4710,0.68,0.225309
4720,0.68,0.225309
4730,0.68,0.225309
4740,0.68,0.225309
4750,0.68,0.225309
4760,0.68,0.225309
4770,0.68,0.225309
4780,0.68,0.225309
4790,0.68,0.225309
4800,0.68,0.225309
4810,0.68,0.225309
4820,0.68,0.225309
4830,0.68,0.225309
4840,0.68,0.225309
4850,0.68,0.225309
4860,0.68,0.225309
4870,0.68,0.225309
4880,0.68,0.225309
4890,0.68,0.225309
4900,0.68,0.225309
4910,0.68,0.225309
4920,0.68,0.225309
4930,0.68,0.225309
4940,0.68,0.225309
4950,0.68,0.225309
4960,0.68,0.225309
4970,0.68,0.225309
4980,0.68,0.225309
4990,0.68,0.225309
5000,0.68,0.225309
5010,0.68,0.225309
5020,0.68,0.225309
5030,0.68,0.225309
5040,0.68,0.225309
5050,0.68,0.225309
5060,0.68,0.225309
5070,0.68,0.225309
5080,0.68,0.225309
5090,0.68,0.225309
5100,0.68,0.225309
5110,0.68,0.225309
5120,0.68,0.225309
5130,0.68,0.225309
5140,0.68,0.225309
5150,0.68,0.225309
5160,0.68,0.225309
5170,0.68,0.225309
5180,0.68,0.225309
5190,0.68,0.225309
5200,0.68,0.225309
5210,0.68,0.225309
5220,0.68,0.225309
5230,0.68,0.225309
5240,0.68,0.225309
5250,0.68,0.225309
5260,0.68,0.225309
5270,0.68,0.225309
5280,0.68,0.225309
5290,0.68,0.225309
5300,0.68,0.225309
5310,0.68,0.225309
5320,0.68,0.225309
5330,0.68,0.225309
5340,0.68,0.225309
