Measured Voltage (V),,,
-----------------------,,,
16-Oct,42:44.6,1.4008,1.4008
16-Oct,42:44.7,1.4008,1.4008
16-Oct,42:44.8,1.4008,1.4008
16-Oct,42:44.9,1.4008,1.4008
16-Oct,42:45.0,1.4008,1.4008
16-Oct,42:45.1,1.4008,1.4008
16-Oct,42:45.2,1.4008,1.4008
16-Oct,42:45.3,1.4008,1.4008
16-Oct,42:45.4,1.4008,1.4008
16-Oct,42:45.5,1.4008,1.4008
16-Oct,42:45.6,1.4008,1.4008
16-Oct,42:45.7,1.4008,1.4008
16-Oct,42:45.8,1.4008,1.4008
16-Oct,42:45.9,1.4008,1.4008
16-Oct,42:46.0,1.4008,1.4008
16-Oct,42:46.1,1.4008,1.4008
16-Oct,42:46.2,1.4008,1.4008
16-Oct,42:46.3,1.4008,1.4008
16-Oct,42:46.4,1.4008,1.4008
16-Oct,42:46.5,1.4008,1.4008
16-Oct,42:46.6,1.4008,1.4008
16-Oct,42:46.7,1.4008,1.4008
16-Oct,42:46.8,1.4008,1.4008
16-Oct,42:46.9,1.4008,1.4008
16-Oct,42:47.0,1.4008,1.4008
16-Oct,42:47.1,1.4008,1.4008
16-Oct,42:47.2,1.4008,1.4008
16-Oct,42:47.3,1.4008,1.4008
16-Oct,42:47.5,1.4008,1.4008
16-Oct,42:47.6,1.4008,1.4008
16-Oct,42:47.7,1.4008,1.4008
16-Oct,42:47.8,1.4008,1.4008
16-Oct,42:47.9,1.4008,1.4008
16-Oct,42:48.0,1.4008,1.4008
16-Oct,42:48.1,1.4008,1.4008
16-Oct,42:48.2,1.4008,1.4008
16-Oct,42:48.3,1.4008,1.4008
16-Oct,42:48.4,1.4008,1.4008
16-Oct,42:48.5,1.4008,1.4008
16-Oct,42:48.6,1.4008,1.4008
16-Oct,42:48.7,1.4008,1.4008
16-Oct,42:48.8,1.4008,1.4008
16-Oct,42:48.9,1.4008,1.4008
16-Oct,42:49.0,1.4008,1.4008
16-Oct,42:49.1,1.4008,1.4008
16-Oct,42:49.2,1.4008,1.4008
16-Oct,42:49.3,1.4008,1.4008
16-Oct,42:49.4,1.4008,1.4008
16-Oct,42:49.5,1.4008,1.4008
16-Oct,42:49.6,1.4008,1.4008
16-Oct,42:49.7,1.4008,1.4008
16-Oct,42:49.8,1.4008,1.4008
16-Oct,42:49.9,1.4008,1.4008
16-Oct,42:50.0,1.4008,1.4008
16-Oct,42:50.1,1.4008,1.4008
16-Oct,42:50.2,1.4007,1.4007
16-Oct,42:50.3,1.4007,1.4007
16-Oct,42:50.4,1.4007,1.4007
16-Oct,42:50.5,1.4006,1.4006
16-Oct,42:50.6,1.4005,1.4005
16-Oct,42:50.7,1.4005,1.4005
16-Oct,42:50.8,1.4005,1.4005
16-Oct,42:50.9,1.4005,1.4005
16-Oct,42:51.0,1.4004,1.4004
16-Oct,42:51.1,1.4005,1.4005
16-Oct,42:51.2,1.4004,1.4004
16-Oct,42:51.3,1.4004,1.4004
16-Oct,42:51.4,1.4004,1.4004
16-Oct,42:51.5,1.4004,1.4004
16-Oct,42:51.6,1.4004,1.4004
16-Oct,42:51.7,1.4004,1.4004
16-Oct,42:51.8,1.4003,1.4003
16-Oct,42:51.9,1.4003,1.4003
16-Oct,42:52.0,1.4003,1.4003
16-Oct,42:52.1,1.4003,1.4003
16-Oct,42:52.2,1.4002,1.4002
16-Oct,42:52.3,1.4002,1.4002
16-Oct,42:52.4,1.4002,1.4002
16-Oct,42:52.5,1.4001,1.4001
16-Oct,42:52.6,1.3951,1.3951
16-Oct,42:52.7,1.3897,1.3897
16-Oct,42:52.8,1.3844,1.3844
16-Oct,42:52.9,1.3792,1.3792
16-Oct,42:53.0,1.3743,1.3743
16-Oct,42:53.1,1.3693,1.3693
16-Oct,42:53.2,1.3645,1.3645
16-Oct,42:53.4,1.3598,1.3598
16-Oct,42:53.5,1.3551,1.3551
16-Oct,42:53.5,1.3505,1.3505
16-Oct,42:53.7,1.346,1.346
16-Oct,42:53.8,1.3415,1.3415
16-Oct,42:53.9,1.3371,1.3371
16-Oct,42:54.0,1.3328,1.3328
16-Oct,42:54.1,1.3285,1.3285
16-Oct,42:54.2,1.3244,1.3244
16-Oct,42:54.3,1.3202,1.3202
16-Oct,42:54.4,1.3161,1.3161
16-Oct,42:54.5,1.312,1.312
16-Oct,42:54.6,1.308,1.308
16-Oct,42:54.7,1.2872,1.2872
16-Oct,42:54.8,1.2847,1.2847
16-Oct,42:54.9,1.2853,1.2853
16-Oct,42:55.0,1.2859,1.2859
16-Oct,42:55.1,1.2862,1.2862
16-Oct,42:55.2,1.2865,1.2865
16-Oct,42:55.4,1.2867,1.2867
16-Oct,42:55.5,1.2869,1.2869
16-Oct,42:55.6,1.2871,1.2871
16-Oct,42:55.7,1.2872,1.2872
16-Oct,42:55.7,1.2874,1.2874
16-Oct,42:55.9,1.2875,1.2875
16-Oct,42:56.0,1.2876,1.2876
16-Oct,42:56.1,1.2877,1.2877
16-Oct,42:56.2,1.2878,1.2878
16-Oct,42:56.3,1.2879,1.2879
16-Oct,42:56.4,1.288,1.288
16-Oct,42:56.5,1.2881,1.2881
16-Oct,42:56.6,1.2882,1.2882
16-Oct,42:56.7,1.2883,1.2883
16-Oct,42:56.8,1.2884,1.2884
16-Oct,42:56.9,1.2885,1.2885
16-Oct,42:57.0,1.2885,1.2885
16-Oct,42:57.1,1.2886,1.2886
16-Oct,42:57.2,1.2886,1.2886
16-Oct,42:57.3,1.2887,1.2887
16-Oct,42:57.4,1.3107,1.3107
16-Oct,42:57.5,1.3742,1.3742
16-Oct,42:57.6,1.4033,1.4033
16-Oct,42:57.7,1.4016,1.4016
16-Oct,42:57.8,1.3991,1.3991
16-Oct,42:57.9,1.3978,1.3978
16-Oct,42:58.0,1.3976,1.3976
16-Oct,42:58.1,1.399,1.399
16-Oct,42:58.2,1.4018,1.4018
16-Oct,42:58.3,1.4033,1.4033
16-Oct,42:58.4,1.4024,1.4024
16-Oct,42:58.5,1.3994,1.3994
